Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
G2,1.00 ,6/22/2021,Internet software ,Chicago,United States,North America,2012,0.26 ,"Pritzker Group Venture Capital, Accel, Hyde Park Venture Partners"
Gaussian Robotics,1.00 ,11/10/2021,Hardware,Shanghai,China,Asia,2013,0.33 ,"BlueRun Ventures, Grand Flight Investment, Meituan Dianping"
GetYourGuide,1.00 ,5/16/2019,Travel,Berlin,Germany,Europe,2009,0.66 ,"Spark Capital, Highland Europe, Sunstone Capital"
GlobalBees,1.00 ,12/28/2021,E-commerce ,New Delhi,India,Asia,2021,0.19 ,"Chiratae Ventures, SoftBank Group, Trifecta Capital"
Ivalua,1.00 ,5/21/2019,Fintech,Redwood City,United States,North America,2000,0.13 ,"Ardian, Tiger Global Management, KKR"
Juanpi,1.00 ,4/14/2016,E-commerce ,Wuhan,China,Asia,2012,0.14 ,"Tiantu Capital, SAIF Partners China, Newsion Venture Capital"
Karat,1.00 ,10/13/2021,Internet software ,Seattle,United States,North America,2014,0.17 ,"8VC, Norwest Venture Partners, Tiger Global Management"
LEAD School,1.00 ,1/13/2022,Edtech,Andheri,India,Asia,2012,0.17 ,"WestBridge Capital, GSV Ventures, Elevar Equity"
Nexthink,1.00 ,2/8/2021,Data management ,Prilly,Switzerland,Europe,2004,0.35 ,"Auriga, Galeo Ventures, Highland Europe"
People.ai,1.00 ,8/11/2021,Internet software ,San Francisco,United States,North America,2017,0.20 ,"GGV Capital, Lightspeed Venture Partners, ICONIQ Capital"
Pharmapacks,1.00 ,11/12/2020,E-commerce ,Islandia,United States,North America,2010,0.43 ,The Carlyle Group
Rightway,1.00 ,3/30/2021,Health,New York,United States,North America,2017,0.13 ,"Thrive Capital, Khosla Ventures, Tiger Global Management"
Sennder,1.00 ,1/14/2021,Supply chain,Berlin,Germany,Europe,2015,0.34 ,"Accelm Scania Growth Capital, Lakestar"
Sisense,1.00 ,1/9/2020,Data management ,New York,United States,North America,2004,0.27 ,"Opus Capital, Genesis Partners, Battery Ventures"
Staffbase,1.00 ,3/15/2022,Internet software ,Chemnitz,Germany,Europe,2014,0.31 ,"Insight Partners, e.ventures, General Atlantic"
Sunbit,1.00 ,5/20/2021,Fintech,Los Angeles,United States,North America,2016,0.21 ,"Zeev Ventures, Group11, Chicago Ventures"
TangoMe,1.00 ,3/20/2014,Mobile ,Mountain View,United States,North America,2009,0.36 ,"Draper Fisher Jurtson, Qualcomm Ventures, Alibaba Group"
The Bank of London,1.00 ,11/30/2021,Fintech,London,United Kingdom,Europe,2018,0.09 ,"Mangrove Capital Partners,14W, ForgeLight"
Zego,1.00 ,3/9/2021,Fintech,London,United Kingdom,Europe,2016,0.20 ,"LocalGlobe, Balderton Capital, Target Global"
Nxin,1.00 ,9/18/2018,Internet software ,Beijing,China,Asia,2015,0.05 ,"Beijing Juneng Hesheng Industry Investment Fund, Beijing Shuju Xinrong Fund"
Mamaearth,1.00 ,12/28/2021,E-commerce ,Gurgaon,India,Asia,2016,0.11 ,"Fireside Ventures, Sequoia Capital India, Stellaris Venture Partners"
Radius Payment Solutions,1.00 ,11/27/2017,Fintech,Crewe,United Kingdom,Europe,1990,0.20 ,Inflexion Private Equity
Rivigo,1.00 ,7/11/2019,Supply chain,Gurgaon,India,Asia,2014,0.25 ,"SAIF Partners India, Warburg Pincus, Trifecta Capital Advisors"
Rubicon,1.00 ,8/25/2017,Other,Atlanta,United States,North America,2008,0.22 ,"Goldman Sachs, Leonardo DiCaprio, Promecap"
Socar,1.00 ,10/16/2020,Auto ,Jeju-do,South Korea,Asia,2012,0.41 ,"Bain Capital, Altos Ventures, Songhyun Investment"
MobileCoin,1.00 ,7/7/2021,Fintech,San Francisco,United States,North America,2018,0.11 ,"General Catalyst, Future Ventures, AU21"
Density,1.00 ,11/10/2021,Hardware,San Francisco,United States,North America,2014,0.22 ,"Founders Fund, Upfront Ventures, 01 Advisors"
Instabase,1.00 ,10/21/2019,Data management ,San Francisco,United States,North America,2015,0.13 ,"New Enterprise Associates, Greylock Partners, Andreessen Horowitz"
Jiuxian,1.00 ,7/30/2015,E-commerce ,Beijing,China,Asia,2009,0.25 ,"Sequoia Capital China, Rich Land Capital, Merrysunny Wealth"
Matrixport,1.00 ,6/1/2021,Fintech,Singapore,Singapore,Asia,2019,0.10 ,"Dragonfly Captial, Qiming Venture Partners, DST Global"
Mixpanel,1.00 ,11/15/2021,Internet software ,San Francisco,United States,North America,2009,0.28 ,"Bain Capital Tech Opportunities, Andreessen Horowitz, Sequoia Capital"
Sendbird,1.00 ,4/6/2021,Mobile ,San Mateo,United States,North America,2013,0.22 ,"FundersClub, Y Combinator, Tiger Global Management"
OrCam Technologies,1.00 ,2/20/2018,Artificial intelligence,Jerusalem,Israel,Asia,2010,0.09 ,"Intel Capital, Aviv Venture Capital"
Leap Motor,1.00 ,11/20/2018,Auto ,Hangzhou,China,Asia,2015,1.00 ,"Sequoia Capital China, Gopher Asset Management, Shanghai Electric Group"
1KMXC,1.00 ,8/30/2021,Hardware,Hangzhou,China,Asia,2014,0.09 ,"Goldman Sachs Asset Management, SDP Investment, Alibaba Group"
58 Daojia,1.00 ,10/12/2015,Internet software ,Beijing,China,Asia,2014,0.30 ,"KKR, Alibaba Group, Ping An Insurance"
Agile Robots,1.00 ,9/9/2021,Hardware,Munich,Germany,Europe,2018,0.24 ,"Hillhouse Capital Management, Sequoia Capital China, Linear Venture"
Aibee,1.00 ,4/13/2021,Artificial intelligence,Beijing,China,Asia,2017,0.27 ,"Sequoia Capital China, Lenovo Capital and Incubator, Group GSR Ventures"
Aircall,1.00 ,6/23/2021,Internet software ,New York,United States,North America,2014,0.23 ,"Balderton Capital, Next World Capital, Draper Esprit"
Ajaib,1.00 ,10/4/2021,Fintech,Jakarta,Indonesia,Asia,2018,0.25 ,"Softbank Ventures Asia, Alpha JWC Ventures, Insignia Ventures Partners"
Alto Pharmacy,1.00 ,1/30/2020,Health,San Francisco,United States,North America,2015,0.52 ,"Jackson Square Ventures, Greenoaks Capital Management, Softbank Group"
Amagi,1.00 ,3/16/2022,Internet software ,Bengaluru,India,Asia,2008,0.24 ,"Mayfield, Accel, Norwest Venture Partners"
Amount,1.00 ,5/17/2021,Fintech,Chicago,United States,North America,2019,0.24 ,"Invus Group, Hanaco Venture Capital, WestCap Group"
Amperity,1.00 ,7/13/2021,Artificial intelligence,Seattle,United States,North America,2016,0.19 ,"Madrona Venture Group, Tiger Global Management, Madera Technology Partners"
Anyscale,1.00 ,12/7/2021,Artificial Intelligence,Berkeley,United States,North America,2019,0.16 ,"Andreessen Horowitz, Intel Capital, Foundation Capital"
Aptos,1.00 ,3/15/2022,Internet software ,Palo Alto,United States,North America,2021,0.20 ,"Andreessen Horowitz, Coinbase Ventures, Tiger Global Management"
Aqua Security,1.00 ,3/10/2021,Cybersecurity,Ramat Gan,Israel,Asia,2015,0.27 ,"TLV Partners, Lightspeed Venture Partners, M12"
Assembly,1.00 ,9/21/2021,Internet software ,Culver City,United States,North America,2019,0.22 ,"Advent International, PSG, Providence Equity Partners"
Assent,1.00 ,1/6/2022,Supply chain,Ottawa,Canada,North America,2010,0.53 ,"Vista Equity Partners, Warburg Pincus, First Ascent Ventures"
Augury,1.00 ,10/26/2021,Artificial intelligence,New York,United States,North America,2011,0.29 ,"Lerer Hippeau, Munich Re Ventures, Eclipse Ventures"
Axelar,1.00 ,2/15/2022,Internet software ,Waterloo,Canada,North America,2020,0.06 ,"Lemniscap VC, North Island Ventures, Polychain Capital"
Axiom Space,1.00 ,2/16/2021,Other,Houston,United States,North America,2016,0.15 ,"C5 Capital, Hemisphere Ventures, The Venture Collective"
Banma Network Technologies,1.00 ,9/13/2018,Auto ,Shanghai,China,Asia,2015,0.70 ,"Yunfeng Capital, SDIC Innovation Investment Management, Shang Qi Capital"
BeiBei,1.00 ,1/22/2015,E-commerce ,Hangzhou,China,Asia,2011,0.22 ,"Banyan Capital, New Horizon Capital, IDG Capital Partners"
BenevolentAI,1.00 ,6/2/2015,Artificial intelligence,London,United Kingdom,Europe,2013,0.29 ,Woodford Investment Management
Berlin Brands Group,1.00 ,9/1/2021,E-commerce ,Berlin,Germany,Europe,2005,0.80 ,"Ardian, Bain Capital"
Betterfly,1.00 ,2/1/2022,Artificial intelligence,Santiago,Chile,South America,2018,0.21 ,"QED Investors, DST Global, Endeavor"
BitFury,1.00 ,11/6/2018,Hardware,Amsterdam,Netherlands,Europe,2011,0.17 ,"Georgian Co-Investment Fund, iTech Capital, Galaxy Digital"
BlackBuck,1.00 ,7/22/2021,Supply chain,Bengaluru,India,Asia,2015,0.35 ,"Accel, Sands Capital, International Finance Corporation"
Bluecore,1.00 ,8/5/2021,Artificial intelligence,New York,United States,North America,2013,0.24 ,"FirstMark Capital, Georgian Partners, Norwest Venture Partners"
BlueVoyant,1.00 ,2/23/2022,Cybersecurity,New York,United States,North America,2017,0.53 ,"8VC, Liberty Strategic Capital, Eden Global Partners"
bolttech,1.00 ,7/1/2021,Fintech,Singapore,Singapore,Asia,2018,0.21 ,"Mundi Ventures, Doqling Capital Partners, Activant Capital"
