Company,    Valuation_$Bn    ,Date_Joined,Industry,City,Country,Continent,Year Founded,    Funding_$Bn    ,Select Investors
Licious,1.00 ,10/5/2021,E-commerce ,Bengaluru,India,Asia,2015,0.49 ,"3one4 Capital Partners, Bertelsmann India Investments, Vertex Ventures SE Asia"
LinkDoc Technology,1.00 ,7/5/2018,Health,Beijing,China,Asia,2014,0.25 ,"China Investment Corporation, New Enterprise Associates"
Locus Robotics,1.00 ,2/17/2021,Hardware,Wilmington,United States,North America,2014,0.30 ,"Scale Venture Partners, Bond, Tiger Global Management"
Lookout,1.00 ,10/10/2013,Cybersecurity,San Francisco,United States,North America,2007,0.28 ,"Accel Partners, Greylock Partners, Lowercase Capital"
Lydia,1.00 ,12/8/2021,Fintech,Paris,France,Europe,2011,0.26 ,"NewAlpha, XAnge Private Equity, Tencent Holdings"
MadeiraMadeira,1.00 ,1/7/2021,E-commerce ,Parana,Brazil,South America,2009,0.34 ,"Flybridge Capital Partners, SoftBank Group, Monashees+"
Maimai,1.00 ,11/15/2017,Mobile ,Beijing,China,Asia,2013,0.30 ,"Morningside Venture Capital, IDG Capital, DCM Ventures"
Mammoth Biosciences,1.00 ,9/9/2021,Health,Brisbane,United States,North America,2017,0.27 ,"NFX, Plum Alley, Mayfield"
Masterworks,1.00 ,10/5/2021,Fintech,New York,United States,North America,2017,0.11 ,"Left Lane Capital, Galaxy Interactive, Tru Arrow Partners"
Maven Clinic,1.00 ,8/17/2021,Health,New York,United States,North America,2014,0.20 ,"Female Founders Fund, Oak HC/FT Partners, Sequoia Capital"
MediaMath,1.00 ,7/10/2018,Internet software ,New York,United States,North America,2007,0.33 ,"Silicon Valley Bank, QED Investors, European Founders Fund"
Meero,1.00 ,6/18/2019,Artificial intelligence,Paris,France,Europe,2016,0.29 ,"Aglae Ventures, Global Founders Capital, Alven Capital"
Mensa Brands,1.00 ,11/16/2021,Other,Bengaluru,India,Asia,2021,0.22 ,"Accel, Falcon Edge Capital, Norwest Venture Partners"
Mia.com,1.00 ,9/8/2015,E-commerce ,Beijing,China,Asia,2011,0.23 ,"Sequoia Capital China, ZhenFund, K2 Ventures"
Minio,1.00 ,1/26/2022,Data management ,Palo Alto,United States,North America,2014,0.13 ,"General Catalyst, Nexus Venture Partners, Dell Technologies Capital"
Mobvoi,1.00 ,4/6/2017,Consumer ,Beijing,China,Asia,2012,0.25 ,"Sequoia Capital China, SIG Asia Investments, ZhenFund"
Moka,1.00 ,11/2/2021,Internet software ,Beijing,China,Asia,2015,0.14 ,"GGV Capital, GSR Ventures, FreesFund"
Momenta,1.00 ,10/17/2018,Artificial intelligence,Beijing,China,Asia,2016,1.00 ,"Sinovation Ventures, Tencent Holdings, Sequoia Capital China"
Morning Consult,1.00 ,6/8/2021,Internet software ,Washington DC,United States,North America,2014,0.09 ,"Advance Venture Partners, Susquehanna Growth Equity, Lupa Systems"
Movile,1.00 ,7/12/2018,Mobile ,Sao Paulo,Brazil,South America,1998,0.59 ,"Innova Capital - FIP, 3G Capital Management, Prosus Ventures"
Mux,1.00 ,4/30/2021,Internet software ,San Francisco,United States,North America,2015,0.17 ,"Accel, Cobalt Capital, Andreessen Horowitz"
Nature's Fynd,1.00 ,7/19/2021,Other,Chicago,United States,North America,2012,0.46 ,"Danone Manifesto Ventures, 1955 Capital, Breakthrough Energy Ventures"
Newlink Group,1.00 ,7/10/2020,E-commerce ,Beijing,China,Asia,2016,0.66 ,"JOY Capital, NIO Capital, Blueflame Capital"
News Break,1.00 ,1/7/2021,Internet software ,Mountain View,United States,North America,2015,0.15 ,"IDG Capital, Francisco Partners, ZhenFund"
Newsela,1.00 ,2/25/2021,Internet software ,New York,United States,North America,2013,0.17 ,"Owl Ventures, Technology Crossover Ventures, Tao Capital Partners"
NIUM,1.00 ,7/13/2021,Fintech,Singapore,Singapore,Asia,2014,0.29 ,"Vertex Ventures SE Asia, Global Founders Capital, Visa Ventures"
NoBroker,1.00 ,11/23/2021,Internet software ,Bengaluru,India,Asia,2014,0.42 ,"General Atlantic, Elevation Capital, BEENEXT"
Noname Security,1.00 ,12/15/2021,Cybersecurity,Palo Alto,United States,North America,2020,0.22 ,"Insight Partners, Lightspeed Venture Partners, CyberStarts"
Numbrs,1.00 ,8/22/2019,Fintech,Zurich,Switzerland,Europe,1999,0.11 ,"Investment Corporation of Dubai, Centralway"
Omada Health,1.00 ,2/23/2022,Health,San Francisco,United States,North America,2011,0.45 ,"U.S. Venture Partners, dRx Capital, Andreessen Horowitz"
Omio,1.00 ,10/23/2018,Travel,Berlin,Germany,Europe,2013,0.40 ,"Lakestar, Battery Ventures, New Enterprise Associates"
ONE,1.00 ,12/8/2021,Internet software ,Singapore,Singapore,Asia,2011,0.52 ,"Temasek, Guggenheim Investments, Qatar Investment Authority"
OpenWeb,1.00 ,11/9/2021,Internet software ,New York,United States,North America,2012,0.22 ,"Insight Partners, AltaIR Capital, Norma Investments"
Orbbec Technology,1.00 ,5/21/2018,Hardware,Shenzhen,China,Asia,2013,0.20 ,"R-Z Capital, Green Pine Capital Partners, SAIF Partners China"
Orca Bio,1.00 ,6/17/2020,Health,Menlo Park,United States,North America,2016,0.19 ,"Lightspeed Venture Partners, Data Collective, 8VC"
Orchard,1.00 ,9/9/2021,Fintech,New York,United States,North America,2017,0.25 ,"Accomplice, Juxtapose, FirstMark Capital"
Owkin,1.00 ,11/18/2021,Artificial Intelligence,New York,United States,North America,2016,0.25 ,"Google Ventures, Cathay Innovation, NJF Capital"
PandaDoc,1.00 ,9/22/2021,Internet software ,San Francisco,United States,North America,2016,0.05 ,"Rembrandt Venture Partners, M12, Altos Ventures"
Pat McGrath Labs,1.00 ,7/16/2018,Consumer ,New York,United States,North America,2016,0.06 ,"One Luxury Group, Eurazeo"
PatSnap,1.00 ,3/16/2021,Internet software ,Singapore,Singapore,Asia,2007,0.35 ,"Sequoia Capital China, Shunwei Capital Partners, Qualgro"
Payhawk,1.00 ,2/14/2022,Fintech,London,United Kingdom,Europe,2018,0.24 ,"Earlybird Venture Capital, Eleven Ventures, QED Investors"
Pentera,1.00 ,1/11/2022,Cybersecurity,Petah Tikva,Israel,Asia,2015,0.19 ,"AWZ Ventures, Blackstone, Insight Partners"
Pet Circle,1.00 ,12/6/2021,E-commerce ,Alexandria,Australia,Oceania,2011,0.13 ,"Prysm Capital, Baillie Gifford & Co., TDM Growth Partners"
PicsArt,1.00 ,8/26/2021,Mobile ,San Francisco,United States,North America,2011,0.20 ,"Sequoia Capital, DCM Ventures, Insight Partners"
PLACE,1.00 ,11/17/2021,Internet software ,Bellingham,United States,North America,2020,0.10 ,"Goldman Sachs Asset Management, 3L"
Placer.ai,1.00 ,1/12/2022,Artificial intelligence,Los Altos,United States,North America,2016,0.17 ,"Fifth Wall Ventures, JBV Capital, Array Ventures"
Playco,1.00 ,9/21/2020,Other,Tokyo,Japan,Asia,2020,0.14 ,"Sozo Ventures, Caffeinated Capital, Sequoia Capital"
Poizon,1.00 ,4/29/2019,Mobile ,Shanghai,China,Asia,2015,0.24 ,"DST Global, Sequoia Capital China, Gaorong Capital"
PPRO,1.00 ,1/19/2021,Fintech,London,United Kingdom,Europe,2006,0.37 ,"Wellington Management, Eurazeo, Citi Ventures"
Printful,1.00 ,5/24/2021,Other,Charlotte,United States,North America,2016,0.13 ,Bregal Sagemount
Quantum Metric,1.00 ,1/7/2021,Data management ,Colorado Springs,United States,North America,2015,0.23 ,"Insight Partners, Bain Capital Ventures"
Quizlet,1.00 ,5/13/2020,Edtech,San Francisco,United States,North America,2005,0.06 ,"Union Square Ventures, Altos Ventures, Costanoa Ventures"
RapidAPI,1.00 ,3/23/2022,Internet software ,San Francisco,United States,North America,2015,0.27 ,"Green Bay Ventures, M12, Andreessen Horowitz"
Razor,1.00 ,11/8/2021,Consumer ,Berlin,Germany,Europe,2020,0.17 ,"Global Founders Capital, 468 Capital, Redalpine Venture Partners"
Red Ventures,1.00 ,1/7/2015,Other,Fort Mill,United States,North America,2000,0.25 ,"Silver Lake Partners, General Atlantic"
REEF Technology,1.00 ,12/10/2018,Supply chain,Miami,United States,North America,2015,2.00 ,"Target Global, UBS Asset Management, Mubadala Capital"
ReliaQuest,1.00 ,12/1/2021,Cybersecurity,Tampa,United States,North America,2007,0.33 ,"KKR, FTV Capital, Ten Eleven Ventures"
Revolution Precrafted,1.00 ,10/23/2017,Other,Manila,Philippines,Asia,2015,0.02 ,"K2 Global, 500 Startups"
Rothy's,1.00 ,12/21/2021,Consumer ,San Francisco,United States,North America,2016,0.48 ,"Alpargatas, GS Growth, Lightspeed Venture Partners"
SaltPay,1.00 ,4/9/2021,Fintech,London,United Kingdom,Europe,2019,1.00 ,"Tiger Global Management, Hedosophia"
Savage X Fenty,1.00 ,2/10/2021,E-commerce ,El Segundo,United States,North America,2018,0.31 ,"Speedinvest, Valar Ventures, Uniqa Ventures"
Scalapay,1.00 ,2/23/2022,Fintech,Milan,Italy,Europe,2019,0.42 ,"Fasanara Capital, Tiger Global Management, Baleen Capital"
Scandit,1.00 ,2/9/2022,Supply chain,Zurich,Switzerland,Europe,2009,0.27 ,"Atomico, NGP Capital, Google Ventures"
Sentry,1.00 ,2/18/2021,Other,San Francisco,United States,North America,2011,0.13 ,"New Enterprise Associates, Accel, Bond"
Shield AI,1.00 ,8/24/2021,Artificial intelligence,San Diego,United States,North America,2015,0.33 ,"Andreessen Horowitz, Homebrew, Point72 Ventures"
Shift Technology,1.00 ,5/6/2021,Artificial intelligence,Paris,France,Europe,2014,0.55 ,"Griffin Gaming Partners, Andreessen Horowitz, Battery Ventures"
ShipBob,1.00 ,6/29/2021,Supply chain,Chicago,United States,North America,2014,0.33 ,"Hyde Park Venture Partners, FundersClub, Bain Capital Ventures"
Shippo,1.00 ,6/2/2021,Supply chain,San Francisco,United States,North America,2013,0.15 ,"Version One Ventures, Uncork Capital, Bessemer Venture Partners"
Sidecar Health,1.00 ,1/26/2021,Fintech,El Segundo,United States,North America,2018,0.16 ,"GreatPoint Ventures, Tiger Global Management, Menlo Ventures"
Sift,1.00 ,4/22/2021,Artificial intelligence,San Francisco,United States,North America,2011,0.16 ,"Union Square Ventures, Insight Partners, Spark Capital"
Skydio,1.00 ,2/25/2021,Supply chain,Redwood City,United States,North America,2014,0.34 ,"Andreessen Horowitz, Andreessen Horowitz, Institutional Venture Partners, Accel"
Slice,1.00 ,11/28/2021,Fintech,Bengaluru,India,Asia,2015,0.25 ,"Gunosy Capital, Blume Ventures, Das Capital"
SmartAsset,1.00 ,6/24/2021,Fintech,New York,United States,North America,2012,0.16 ,"Javelin Venture Partners, TTV Capital, Peterson Ventures"
SMS Assist,1.00 ,6/7/2016,Internet software ,Chicago,United States,North America,2003,0.26 ,"Goldman Sachs, Insights Venture Partners, Pritzker Group Venture Capital"
SnapLogic,1.00 ,12/13/2021,Internet software ,San Mateo,United States,North America,2006,0.37 ,"Andreessen Horowitz, Triangle Peak Partners, Ignition Partners"
Snorkel AI,1.00 ,8/9/2021,Artificial intelligence,Palo Alto,United States,North America,2019,0.14 ,"Greylock Partners, Google Ventures, BlackRock"
Solo.io,1.00 ,10/7/2021,Internet software ,Cambridge,United States,North America,2017,0.17 ,"True Ventures, Altimeter Capital, Redpoint Ventures"
SoundHound,1.00 ,5/3/2018,Artificial intelligence,Santa Clara,United States,North America,2005,0.22 ,"Tencent Holdings, Walden Venture Capital, Global Catalyst Partnera"
Splashtop,1.00 ,1/27/2021,Internet software ,San Jose,United States,North America,2006,0.11 ,"Storm Ventures, DFJ DragonFund, New Enterprise Associates"
Standard,1.00 ,2/17/2021,Artificial intelligence,San Francisco,United States,North America,2017,0.24 ,"CRV, Y Combinator, Initialized Capital"
Stytch,1.00 ,11/18/2021,Cybersecurity,San Francisco,United States,North America,2020,0.13 ,"Index Ventures, Benchmark, Thrive Capital"
Swile,1.00 ,10/11/2021,Fintech,Montpellier,France,Europe,2016,0.33 ,"Index Ventures, IDInvest Partners, Daphni"
Tarana Wireless,1.00 ,3/23/2022,Mobile ,Milpitas,United States,North America,2009,0.38 ,"Prime Movers Lab, Khosla Ventures, I Squared Capital"
TechStyle Fashion Group,1.00 ,8/29/2014,E-commerce ,El Segundo,United States,North America,2010,0.34 ,"Matrix Partners, Passport Capital, Rho Ventures"
TensTorrent,1.00 ,5/5/2021,Artificial intelligence,Toronto,Canada,North America,2016,0.24 ,"Eclipse Ventures, Fidelity Investments, Moore Capital Management"
TERMINUS Technology,1.00 ,10/25/2018,Hardware,Beijing,China,Asia,2015,0.62 ,"China Everbright Limited, IDG Capital, iFLYTEK"
Tezign,1.00 ,11/2/2021,Internet software ,Shanghai,China,Asia,2015,0.15 ,"Sequoia Capital China, Linear Venture, Hearst Ventures"
The Zebra,1.00 ,4/12/2021,E-commerce ,Austin,United States,North America,2012,0.26 ,"Silverton Partners, Accel, Ballast Point Ventures"
Thirty Madison,1.00 ,6/2/2021,Health,New York,United States,North America,1993,0.21 ,"Northzone Ventures, Maveron, Johnson & Johnson Innovation"
Thought Machine,1.00 ,11/29/2021,Fintech,London,United Kingdom,Europe,2014,0.40 ,"British Patient Capital, SEB Venture Capital, IQ Capital"
Timescale,1.00 ,2/22/2022,Internet software ,New York,United States,North America,2015,0.18 ,"New Enterprise Associates, Benchmark, Two Sigma Ventures"
Tractable,1.00 ,6/16/2021,Artificial intelligence,London,United Kingdom,Europe,2014,0.12 ,"Insight Partners, Ignition Partners, Georgian Partners"
Tresata,1.00 ,10/10/2018,Fintech,Charlotte,United States,North America,2011,0.05 ,GCP Capital Partners
TrialSpark,1.00 ,9/30/2021,Health,New York,United States,North America,2014,0.16 ,"Sequoia Capital, Thrive Capital, Sound Ventures"
TrueLayer,1.00 ,9/21/2021,Fintech,London,United Kingdom,Europe,2016,0.27 ,"Anthemis, Connect Ventures, Northzone Ventures"
Unico,1.00 ,8/3/2021,Artificial intelligence,Sao Paulo,Brazil,South America,2007,0.24 ,"Big Bets, General Atlantic, SOFTBANK Latin America Ventures"
Vagaro,1.00 ,11/3/2021,Internet software ,Dublin,United States,North America,2009,0.16 ,FTV Capital
Vedantu,1.00 ,9/29/2021,Edtech,Bengaluru,India,Asia,2014,0.29 ,"Accel, Tiger Global Management, Omidyar Network"
Veev,1.00 ,2/24/2022,Internet software ,San Mateo,United States,North America,2008,0.59 ,"Zeev Ventures, Bond, Fifth Wall Ventures"
Vise,1.00 ,5/18/2021,Fintech,New York,United States,North America,2016,0.13 ,"Sequoia Capital, Founders Fund, Bling Capital"
Visier,1.00 ,6/29/2021,Internet software ,Vancouver,Canada,North America,2010,0.22 ,"Foundation Capital, Summit Partners, Adams Street Partners"
VOI,1.00 ,12/21/2021,Travel,Stockholm,Sweden,Europe,2018,0.52 ,"Vostok New Ventures, The Raine Group, Balderton Capital"
Vox Media,1.00 ,8/12/2015,Internet software ,Washington,United States,North America,2011,0.31 ,"Accel Partners, Comcast Ventures, General Atlantic"
VTS,1.00 ,5/7/2019,Internet software ,New York,United States,North America,2012,0.19 ,"Trinity Ventures, Fifth Wall Ventures, OpenView Venture Partners"
Watershed,1.00 ,2/8/2022,Internet software ,San Francisco,United States,North America,2019,0.07 ,"Kleiner Perkins Caufield & Byers, Sequoia Capital"
Weights & Biases,1.00 ,10/13/2021,Internet software ,San Francisco,United States,North America,2017,0.20 ,"Coatue Management, Insight Partners, Trinity Ventures"
WeLab,1.00 ,11/8/2017,Fintech,Hong Kong,Hong Kong,Asia,2013,0.87 ,"Sequoia Capital China, ING, Alibaba Entrepreneurs Fund"
Womai,1.00 ,10/12/2015,E-commerce ,Beijing,China,Asia,2009,0.33 ,"SAIF Partners China, Baidu, IDG Capital"
Wrapbook,1.00 ,11/10/2021,Fintech,New York,United States,North America,2018,0.13 ,"Equal Ventures, Uncork Capital, Andreessen Horowitz"
Xendit,1.00 ,9/14/2021,Fintech,Jakarta,Indonesia,Asia,2014,0.22 ,"Accel, Y Combinator, Amasia"
XForcePlus,1.00 ,6/1/2021,Internet software ,Shanghai,China,Asia,2015,0.20 ,"Eastern Bell Capital, Danhua Capital, MSA Capital"
YH Global,1.00 ,9/21/2017,Supply chain,Shenzhen,China,Asia,1997,0.18 ,"Co-Energy Finance, Grandland"
YipitData,1.00 ,12/6/2021,Internet software ,New York,United States,North America,2008,0.49 ,"RRE Ventures+, Highland Capital Partners, The Carlyle Group"
Yunxuetang,1.00 ,3/29/2021,Edtech,Suzhou,China,Asia,2011,0.39 ,"Matrix Partners China, Sequoia Capital China, Hundreds Capital"
Zhaogang,1.00 ,6/29/2017,E-commerce ,Shanghai,China,Asia,2012,0.38 ,"K2 Ventures, Matrix Partners China, IDG Capital"
Zhuan Zhuan,1.00 ,4/18/2017,E-commerce ,Beijing,China,Asia,2015,0.99 ,"58.com, Tencent Holdings"
Zihaiguo,1.00 ,5/6/2021,Consumer ,Chongqing,China,Asia,2018,0.08 ,"Xingwang Investment Management, China Capital Investment Group, Matrix Partners China"
Zopa,1.00 ,10/19/2021,Fintech,London,United Kingdom,Europe,2005,0.79 ,"IAG Capital Partners, Augmentum Fintech, Northzone Ventures"
Zwift,1.00 ,9/16/2020,E-commerce ,Long Beach,United States,North America,2014,0.62 ,"Novator Partners, True, Causeway Media Partners"
1047 Games,2.00 ,9/14/2021,Internet software ,Zephyr Cove,United States,North America,2017,0.13 ,"VGames, Lakestar, Galaxy Interactive"
Baiwang,2.00 ,3/25/2019,Fintech,Beijing,China,Asia,2015,0.22 ,"Guozhong Venture Capital Management, Shenzhen Capital Group, Oriental Fortune Capital"
Boba,2.00 ,4/5/2022,Fintech,San Francisco,United States,North America,2018,0.05 ,"DeFi Technologies, Hypersphere Ventures, M13"
Bought By Many,2.00 ,6/1/2021,Fintech,London,United Kingdom,Europe,2012,0.48 ,"Octopus Ventures, Munich Re Ventures, CommerzVentures"
Cambridge Mobile Telematics,2.00 ,12/19/2018,Mobile ,Cambridge,United States,North America,2010,0.50 ,SoftBank Group
Carzone,2.00 ,3/1/2019,E-commerce ,Jiangsu,China,Asia,1995,0.95 ,"Alibaba Group,Co-Stone Venture Capital, Buhuo Venture Capital"
CFGI,2.00 ,9/15/2021,Fintech,Boston,United States,North America,2000,0.02 ,"The Carlyle Group, CVC Capital Partners"
Cgtz,2.00 ,2/21/2017,Fintech,Hangzhou,China,Asia,2014,0.54 ,"Shunwei Capital Partners, China Media Group, Guangzhou Huiyin Aofeng Equity Investment Fund"
Changingedu,2.00 ,10/30/2017,Edtech,Shanghai,China,Asia,2014,0.19 ,"Trustbridge Partners, IDG Capital, Sequoia Capital China"
eDaili,2.00 ,2/1/2019,E-commerce ,Shanghai,China,Asia,2015,0.10 ,"K2VC, Lightspeed China Partners, Sky9 Capital"
ENOVATE,2.00 ,4/15/2019,Auto ,Shanghai,China,Asia,2015,1.00 ,Automobile Industry Guidance Fund
Fenbi Education,2.00 ,2/7/2021,Edtech,Beijing,China,Asia,2015,0.39 ,"Trustbridge Partners, Hony Capital, IDG Capital"
Hesai Tech,2.00 ,8/1/2020,Artificial intelligence,Shanghai,China,Asia,2013,0.72 ,"Lightspeed China Partners, Baidu Ventures, Qiming Venture Partners"
Il Makiage,2.00 ,1/10/2022,E-commerce ,New York,United States,North America,2018,0.03 ,"L Catterton, Franklin Templeton, First Light Capital Group"
Iluvatar CoreX,2.00 ,3/1/2021,Hardware,Shanghai,China,Asia,2015,0.19 ,"Centurium Capital, Cedarlake Capital, Unicom Innovation Venture Capital"
Jusfoun Big Data,2.00 ,7/9/2018,Data management ,Beijing,China,Asia,2010,0.14 ,"Boxin Capital, DT Capital Partners, IDG Capital"
Pagaya,2.00 ,6/17/2020,Fintech,Tel Aviv,Israel,Asia,2015,0.42 ,"Oak HC/FT Partners, GF Investments, Harvey Golub Family Office"
PolicyBazaar,2.00 ,5/6/2019,Fintech,Gurgaon,India,Asia,2008,0.63 ,"Info Edge, Softbank Capital"
Promasidor Holdings,2.00 ,11/8/2016,Consumer ,Bryanston,South Africa,Asia,1979,0.56 ,"IFC, Ajinomoto"
Tubatu.com,2.00 ,3/9/2015,E-commerce ,Shenzhen,China,Asia,2008,0.22 ,"Sequoia Capital China, Matrix Partners China, 58.com"
Ximalaya FM,2.00 ,9/22/2017,Mobile ,Shanghai,China,Asia,2012,0.07 ,"China Creation Ventures, Sierra Ventures, Xingwang Investment Management"
HEYTEA,2.00 ,7/1/2019,Other,Shenzhen,China,Asia,2012,0.59 ,"Sequoia Capital China, Tencent Investment, BA Capital"
BGL Group,2.00 ,11/24/2017,Fintech,Peterborough,United Kingdom,Europe,1992,0.70 ,CPP Investment Board
Claroty,2.00 ,6/17/2021,Cybersecurity,New York,United States,North America,2015,0.64 ,"Bessemer Venture Partners, MoreVC, Team8"
Improbable,2.00 ,5/11/2017,Other,London,United Kingdom,Europe,2012,0.75 ,"Andreessen Horowitz, SoftBank Group, Temasek Holdings"
InMobi,2.00 ,12/2/2014,Mobile ,Bengaluru,India,Asia,2007,0.22 ,"Kleiner Perkins Caufield & Byers, Softbank Corp., Sherpalo Ventures"
MindMaze,2.00 ,1/28/2016,Health,Lausanne,Switzerland,Europe,2012,0.34 ,Hinduja Group
Ninja Van,2.00 ,9/27/2021,Supply chain,Singapore,Singapore,Asia,2014,0.98 ,"B Capital Group, Monk's Hill Ventures, Dynamic Parcel Distribution"
Pantheon Systems,2.00 ,7/13/2021,Internet software ,San Francisco,United States,North America,2010,0.20 ,"Foundry Group, Scale Venture Partners, SoftBank Group"
SellerX,2.00 ,12/9/2021,E-commerce ,Berlin,Germany,Europe,2020,0.77 ,"Cherry Ventures, Felix Capital, 83North"
AppDirect,2.00 ,10/7/2015,E-commerce ,San Francisco,United States,North America,2009,0.43 ,"Mithril, iNovia Capital, Foundry Group"
BrewDog,2.00 ,4/10/2017,Consumer ,Aberdeen,United Kingdom,Europe,2007,0.23 ,"TSG Consumer Partners, Crowdcube"
Enflame,2.00 ,1/5/2021,Hardware,Shanghai,China,Asia,2018,0.47 ,"Tencent Holdings, Delta Capital, Redpoint Ventures China"
Tradeshift,2.00 ,5/30/2018,Fintech,San Francisco,United States,North America,2009,0.86 ,"Notion Capital, Scentan Ventures, Kite Ventures"
HeartFlow,2.00 ,12/4/2017,Health,Redwood City,United States,North America,2007,0.57 ,"BlueCross BlueShield Venture Partners, US Venture Partners"
Extend,2.00 ,5/18/2021,Fintech,San Francisco,United States,North America,2004,0.32 ,"GreatPoint Ventures, Meritech Capital Partners, PayPal Ventures"
Airbyte,2.00 ,12/17/2021,Internet software ,San Francisco,United States,North America,2020,0.18 ,"Accel, Benchmark, SV Angel"
Andela,2.00 ,9/29/2021,Internet software ,New York,United States,North America,2014,0.38 ,"Spark Capital, Google Ventures, CRE Venture Capital"
Ascend Money,2.00 ,9/27/2021,Fintech,Bangkok,Thailand,Asia,2013,0.15 ,"Ant Group, Charoen Pokphand Group, Bow Wave Capital"
Athelas,2.00 ,1/31/2022,Health,Mountain View,United States,North America,2016,0.15 ,"Sequoia Capital, General Catalyst, Human Capital"
Built,2.00 ,9/30/2021,Internet software ,Nashville,United States,North America,2015,0.29 ,"Nyca Partners, Index Ventures, Technology Crossover Ventures"
candy.com,2.00 ,10/21/2021,Fintech,New York,United States,North America,2021,0.10 ,"Insight Partners, Softbank Group, Connect Ventures"
Cognite,2.00 ,5/19/2021,Data management ,Lysaker,Norway,Europe,2016,0.23 ,"Technology Crossover Ventures, Accel, Aker"
CoinList,2.00 ,10/15/2021,Fintech,San Francisco,United States,North America,2017,0.12 ,"Accomplice, Polychain Capital, GoldenTree Asset Management"
Collective Health,2.00 ,6/17/2019,Fintech,San Francisco,United States,North America,2013,0.72 ,"New Enterprise Associates, Founders Fund, Google Ventures"
Culture Amp,2.00 ,7/29/2021,Internet software ,Richmond,Australia,Oceania,2011,0.26 ,"Felicis Ventures, Index Ventures, Blackbird Ventures"
Devo,2.00 ,10/26/2021,Data management ,Cambridge,United States,North America,2011,0.38 ,"Insight Partners, Kibo Ventures, Bessemer Venture Partners"
ElasticRun,2.00 ,2/7/2022,Supply chain,Pune,India,Asia,2016,0.44 ,"Kalaari Capital, Norwest Venture Partners, Prosus Ventures"
Gett,2.00 ,5/24/2016,Auto ,London,United Kingdom,Europe,2010,0.83 ,"Volkswagen, Access Industries, Vostok New Ventures"
ID.me,2.00 ,3/19/2021,Cybersecurity,McLean,United States,North America,2010,0.14 ,"Moonshots Capital, BoxGroup, Blu Venture Investors"
impact.com,2.00 ,7/13/2021,Internet software ,Santa Barbara,United States,North America,2008,0.26 ,"Redpoint Ventures, Providence Equity Partners, Silversmith Capital Partners"
Ledger,2.00 ,6/10/2021,Hardware,Paris,France,Europe,2014,0.47 ,"Digital Currency Group, Draper Esprit, Korelya Capital"
Lusha,2.00 ,11/10/2021,Internet software ,New York,United States,North America,2016,0.25 ,"PSG, ION Crossover Partners"
Matillion,2.00 ,9/15/2021,Data management ,Altrincham,United Kingdom,Europe,2011,0.31 ,"Scale Venture Partners, Sapphire Ventures, Battery Ventures"
MOLOCO,2.00 ,4/29/2021,Artificial intelligence,Redwood City,United States,North America,2013,0.19 ,"Smilegate Investment, DSC Investments, KTB Ventures"
Mu Sigma,2.00 ,2/7/2013,Data management ,Northbrook,United States,North America,2004,0.21 ,"Sequoia Capital, General Atlantic"
Next Silicon,2.00 ,6/14/2021,Hardware,Tel Aviv,Israel,Asia,2018,0.20 ,"Amiti Ventures, Playground Global, Aleph"
NotCo,2.00 ,7/26/2021,Artificial Intelligence,Santiago,Chile,South America,2015,0.37 ,"Kaszek Ventures, SOSV, Tiger Global Management"
Olist,2.00 ,12/15/2021,E-commerce ,Curitiba,Brazil,South America,2015,0.32 ,"Redpoint e.ventures, Valor Capital Group, SoftBank Latin America Fund"
Pacaso,2.00 ,3/24/2021,Fintech,Cincinnati,United States,North America,2020,0.22 ,"Global Founders Capital, Shea Ventures, Greycroft"
Paradox,2.00 ,12/27/2021,Internet software ,Scottsdale,United States,North America,2016,0.25 ,"Brighton Park Capital, Blue Cloud Ventures, Workday Ventures"
Persona,2.00 ,9/15/2021,Cybersecurity,San Francisco,United States,North America,2018,0.22 ,"Coatue Management, Index Ventures, Founders Fund"
SmartRecruiters,2.00 ,7/20/2021,Internet software ,San Francisco,United States,North America,2010,0.23 ,"Mayfield Fund, Insight Partners, Rembrandt Venture Partners"
Snapdocs,2.00 ,5/25/2021,Fintech,San Francisco,United States,North America,2012,0.25 ,"Sequoia Capital, Y Combinator, F-Prime Capital"
Solugen,2.00 ,9/10/2021,Other,Houston,United States,North America,2016,0.44 ,"Fifty Years Fund, Refactor Capital, Temasek"
StoreDot,2.00 ,1/4/2022,Other,Herzliya,Israel,Asia,2012,0.19 ,"Samsung Ventures, SingulariTeam, BP Ventures"
Strava,2.00 ,11/16/2020,Internet software ,San Francisco,United States,North America,2009,0.15 ,"Jackson Square Ventures, Madrone Capital Partners, Sequoia Capital"
Temporal,2.00 ,2/16/2022,Internet software ,Bellevue,United States,North America,2019,0.13 ,"Amplify Partners, Addition, Madrona Venture Group"
TuJia,2.00 ,6/17/2015,Travel,Beijing,China,Asia,2011,0.76 ,"GGV Capital, QiMing Venture Partnersl"
Uplight,2.00 ,3/3/2021,Other,Boulder,United States,North America,2019,0.58 ,"Rubicon Technology Partners, Max Ventures, Inclusive Capital Partners"
Veho,2.00 ,12/21/2021,Supply chain,Boulder,United States,North America,2016,0.30 ,"General Catalyst, Origin Ventures, Fontinalis Partners"
Veriff,2.00 ,1/26/2022,Artificial intelligence,Tallinn,Estonia,Europe,2015,0.18 ,"Accel, Institutional Venture Partners, Tiger Global Management"
Whatnot,2.00 ,9/16/2021,E-commerce ,Marina del Rey,United States,North America,2019,0.23 ,"Y Combinator, Andreessen Horowitz, Wonder Ventures"
